Zeit  [s]	Target PWM	Speed 1 [rpm]	Speed 2 [rpm]
0	0	0	0
0.05	0	0	0
0.1	100	0	0
0.15	100	0	24.25
0.2	100	7.72	38.59
0.25	100	30.87	54.02
0.3	100	48.51	72.76
0.35	100	56.59	80.85
0.4	100	64.68	72.76
0.45	100	80.85	69.45
0.5	100	77.17	69.45
0.55	100	97.02	80.85
0.6	100	97.02	80.85
0.65	100	97.02	88.93
0.7	100	97.02	100.32
0.75	100	100.32	100.32
0.8	100	113.19	113.19
0.85	100	105.1	105.1
0.9	100	105.1	105.1
0.95	100	97.02	100.32
1	100	100.32	108.04
1.05	100	105.1	105.1
1.1	100	113.19	105.1
1.15	100	121.27	105.1
1.2	100	113.19	105.1
1.25	100	115.76	108.04
1.3	100	105.1	121.27
1.35	100	105.1	129.35
1.4	100	97.02	113.19
1.45	100	92.61	100.32
1.5	100	84.89	92.61
1.55	100	97.02	88.93
1.6	100	97.02	88.93
1.65	100	105.1	88.93
1.7	100	105.1	92.61
1.75	100	108.04	100.32
1.8	100	105.1	113.19
1.85	100	105.1	105.1
1.9	100	105.1	105.1
1.95	100	97.02	100.32
2	100	100.32	108.04
2.05	100	105.1	113.19
2.1	100	105.1	113.19
2.15	100	105.1	105.1
2.2	100	105.1	108.04
2.25	100	115.76	108.04
2.3	100	113.19	121.27
2.35	100	105.1	121.27
2.4	100	105.1	113.19
2.45	100	97.02	108.04
2.5	100	92.61	92.61
2.55	100	105.1	97.02
2.6	100	105.1	88.93
2.65	100	97.02	97.02
2.7	100	100.32	92.61
2.75	100	100.32	100.32
2.8	100	113.19	105.1
2.85	100	105.1	105.1
2.9	100	97.02	105.1
2.95	100	100.32	108.04
3	100	100.32	108.04
3.05	100	113.19	113.19
3.1	100	105.1	113.19
3.15	100	105.1	105.1
3.2	100	115.76	108.04
3.25	100	115.76	100.32
3.3	100	105.1	105.1
3.35	100	105.1	113.19
3.4	100	97.02	113.19
3.45	100	92.61	100.32
3.5	100	100.32	100.32
3.55	100	105.1	97.02
3.6	100	105.1	88.93
3.64999999999999	100	105.1	88.93
3.69999999999999	100	105.1	100.32
3.74999999999999	100	100.32	108.04
3.79999999999999	100	105.1	105.1
3.84999999999999	100	105.1	105.1
3.89999999999999	100	97.02	97.02
3.94999999999999	100	108.04	100.32
3.99999999999999	100	108.04	100.32
4.04999999999999	100	113.19	105.1
4.09999999999999	100	113.19	113.19
4.14999999999999	100	113.19	113.19
4.19999999999999	100	113.19	108.04
4.24999999999999	100	115.76	108.04
4.29999999999999	100	113.19	121.27
4.34999999999999	100	105.1	121.27
4.39999999999999	100	97.02	113.19
4.44999999999999	100	88.93	100.32
4.49999999999999	100	100.32	92.61
4.54999999999999	100	105.1	97.02
4.59999999999999	100	105.1	97.02
4.64999999999999	100	105.1	97.02
4.69999999999999	100	108.04	100.32
4.74999999999999	100	108.04	100.32
4.79999999999999	100	113.19	113.19
4.84999999999999	100	105.1	105.1
4.89999999999999	100	105.1	105.1
4.94999999999999	100	100.32	108.04
4.99999999999999	100	92.61	100.32
5.04999999999999	100	105.1	105.1
5.09999999999999	100	113.19	105.1
5.14999999999999	100	113.19	105.1
5.19999999999999	100	115.76	108.04
5.24999999999999	100	115.76	108.04
5.29999999999999	100	121.27	113.19
5.34999999999999	100	113.19	121.27
5.39999999999999	100	97.02	121.27
5.44999999999999	100	92.61	115.76
5.49999999999999	200	92.61	100.32
5.54999999999999	200	113.19	105.1
5.59999999999999	200	137.44	129.35
5.64999999999999	200	169.78	153.61
5.69999999999999	200	177.86	169.78
5.74999999999999	200	192.93	192.93
5.79999999999999	200	210.2	210.2
5.84999999999999	200	218.29	218.29
5.89999999999999	200	226.37	210.2
5.94999999999999	200	234.46	223.8
5.99999999999999	200	231.52	231.52
6.04999999999999	200	226.37	242.54
6.09999999999999	200	226.37	226.37
6.14999999999999	200	218.29	210.2
6.19999999999999	200	223.8	216.08
6.24999999999999	200	231.52	223.8
6.29999999999999	200	242.54	242.54
6.34999999999999	200	242.54	242.54
6.39999999999999	200	242.54	226.37
6.44999999999999	200	231.52	231.52
6.49999999999999	200	231.52	239.23
6.54999999999999	200	242.54	234.46
6.59999999999998	200	234.46	218.29
6.64999999999998	200	218.29	210.2
6.69999999999998	200	231.52	216.08
6.74999999999998	200	231.52	231.52
6.79999999999998	200	242.54	242.54
6.84999999999998	200	250.62	242.54
6.89999999999998	200	234.46	234.46
6.94999999999998	200	216.08	239.23
6.99999999999998	200	223.8	231.52
7.04999999999998	200	242.54	226.37
7.09999999999998	200	234.46	234.46
7.14999999999998	200	218.29	218.29
7.19999999999998	200	223.8	231.52
7.24999999999998	200	231.52	231.52
7.29999999999998	200	250.62	242.54
7.34999999999998	200	250.62	250.62
7.39999999999998	200	226.37	234.46
7.44999999999998	200	218.29	223.8
7.49999999999998	200	223.8	216.08
7.54999999999998	200	242.54	234.46
7.59999999999998	200	242.54	234.46
7.64999999999998	200	226.37	234.46
7.69999999999998	200	234.46	226.37
7.74999999999998	200	239.23	239.23
7.79999999999998	200	250.62	258.71
7.84999999999998	200	242.54	258.71
7.89999999999998	200	210.2	218.29
7.94999999999998	200	223.8	208.36
7.99999999999998	200	231.52	223.8
8.04999999999998	200	242.54	242.54
8.09999999999998	200	234.46	242.54
8.14999999999998	200	226.37	226.37
8.19999999999998	200	239.23	231.52
8.24999999999998	200	239.23	231.52
8.29999999999998	200	234.46	258.71
8.34999999999998	200	234.46	250.62
8.39999999999998	200	234.46	202.12
8.44999999999999	200	226.37	216.08
8.49999999999999	200	223.8	223.8
8.54999999999999	200	242.54	242.54
8.59999999999999	200	242.54	242.54
8.64999999999999	200	234.46	226.37
8.69999999999999	200	239.23	231.52
8.74999999999999	200	231.52	239.23
8.79999999999999	200	234.46	242.54
8.84999999999999	200	234.46	234.46
8.89999999999999	200	234.46	210.2
8.94999999999999	200	218.29	216.08
9	200	223.8	223.8
