Zeit  [s]	Target PWM	Speed 1 [rpm]	Speed 2 [rpm]
1.11	0	0	0
1.21	0	0	0
1.31	0	0	0
1.41	100	72.76	89.88
1.52	100	101.87	128.17
1.62	100	109.76	132.43
1.72	100	122.24	132.8
1.82	100	115.45	131.12
1.92	100	100.17	131.12
2.02	100	101.87	131.12
2.12	100	103.56	131.12
2.22	100	113.75	132.8
2.32	100	115.45	132.8
2.42	100	108.66	131.12
2.53	100	105.26	132.8
2.63	100	109.26	131.49
2.73	100	123.94	134.48
2.83	100	112.05	134.48
2.93	100	105.26	131.12
3.03	100	101.87	132.8
3.13	100	105.26	132.8
3.23	100	106.96	132.8
3.33	100	113.75	132.8
3.44	100	112.05	131.49
3.54	100	113.19	132.43
3.64	100	115.45	132.8
3.74	100	117.15	132.8
3.84	100	108.66	132.8
3.94	100	106.96	132.8
4.04	100	110.36	131.12
4.14	100	108.66	132.8
4.24	100	108.66	132.8
4.34	100	108.66	131.12
4.45	100	110.36	132.8
4.55	100	112.62	133.16
4.65	100	120.54	134.48
4.75	100	110.36	134.48
4.85	100	103.56	131.12
4.95	100	103.56	132.8
5.05	100	110.36	132.8
5.15	100	110.36	131.12
5.25	100	108.66	132.8
5.36	100	105.26	131.49
5.46	100	111.47	132.43
5.56	200	127.33	135.82
5.66	200	208.83	223.57
5.76	200	225.8	262.23
5.86	200	239.39	263.91
5.96	200	235.99	263.91
6.06	200	242.78	267.27
6.16	200	246.18	267.27
6.26	200	227.5	262.23
6.37	200	241.08	265.59
6.47	200	240.38	264.65
6.57	200	247.88	267.27
6.67	200	237.69	267.27
6.77	200	234.29	263.91
6.87	200	242.78	265.59
6.97	200	244.48	267.27
7.07	200	239.39	265.59
7.17	200	235.99	267.27
7.28	200	239.39	264.65
7.38	200	245.23	268.25
7.48	200	247.88	267.27
7.58	200	230.9	263.91
7.68	200	241.08	267.27
7.78	200	235.99	267.27
7.88	200	247.88	265.59
7.98	200	237.69	267.27
8.08	200	237.69	267.27
8.18	200	239.39	265.59
8.29	200	237.69	267.27
8.39	200	248.78	266.32
8.49	200	232.6	267.27
8.59	200	241.08	267.27
8.69	200	237.69	263.91
8.79	200	246.18	268.95
8.89	200	242.78	268.95
8.99	200	232.6	265.59
9.09	200	244.48	267.27
9.2	200	244.48	264.65
9.3	200	245.23	269.95
9.4	200	237.69	268.95
9.5	200	235.99	265.59
9.6	200	241.08	267.27
9.7	200	249.57	268.95
9.8	200	232.6	263.91
9.9	255	254.67	270.39
10	255	292.02	322.75
10.1	255	315.79	334.51
10.21	255	305.6	341.24
10.31	255	309.3	336.23
10.41	255	310.69	339.56
10.51	255	319.18	341.24
10.61	255	302.2	336.19
10.71	255	314.09	339.56
10.81	255	317.48	341.24
10.91	255	303.9	336.19
11.01	255	310.69	341.24
11.12	255	315.79	337.89
11.22	255	315.55	341.25
11.32	255	310.69	339.56
11.42	255	309	337.87
11.52	255	322.58	342.92
11.62	255	310.69	341.24
11.72	255	309	337.87
11.82	255	319.18	341.24
11.92	255	312.39	342.92
12.02	255	310.69	336.19
12.13	255	312.39	341.24
12.23	255	316.02	339.56
12.33	255	307.3	339.56
12.43	255	314.09	341.24
12.53	255	314.09	339.56
12.63	255	312.39	341.24
12.73	255	310.69	341.24
12.83	255	314.09	337.87
12.93	255	315.79	342.92
13.04	255	310.69	337.89
13.14	255	310.4	339.56
13.24	255	320.88	341.24
13.34	255	307.3	337.87
13.44	255	312.39	341.24
13.54	255	319.18	342.92
13.64	255	309	337.87
13.74	255	312.39	339.56
13.84	255	312.39	341.24
13.94	255	319.18	339.56
14.05	255	305.6	339.56
14.15	255	314.34	337.89
14.25	255	319.18	342.92
14.35	255	312.39	342.92
14.45	255	305.6	336.19
14.55	50	217.16	235.37
14.65	50	98.47	112.62
14.75	50	49.24	65.56
14.85	50	47.54	65.56
14.96	50	42.44	63.25
15.06	50	37.73	64.52
15.16	50	35.65	63.88
15.26	50	35.65	62.2
15.36	50	42.44	63.88
15.46	50	42.44	65.56
15.56	50	44.14	63.88
15.66	50	44.14	65.56
15.76	50	40.75	63.88
15.86	50	40.75	63.88
15.97	50	39.05	63.88
16.07	50	36.98	64.92
16.17	50	39.05	63.88
16.27	50	42.44	63.88
16.37	50	45.84	63.88
16.47	50	45.84	63.88
16.57	50	45.84	65.56
16.67	50	44.14	63.88
16.77	50	45.84	65.56
16.87	50	45.84	63.25
16.98	50	51.45	64.52
17.08	50	54.33	63.88
17.18	50	50.93	63.88
17.28	50	45.84	63.88
17.38	50	35.65	65.56
17.48	50	32.26	63.88
17.58	50	27.16	63.88
17.68	50	30.56	63.88
17.78	50	39.05	62.2
17.88	50	40.75	63.88
17.99	50	40.34	63.25
18.09	50	40.75	63.88
18.19	50	40.75	63.88
18.29	50	45.84	63.88
18.39	50	45.84	63.88
18.49	50	45.84	63.88
18.59	50	42.44	63.88
18.69	50	42.44	63.88
18.79	50	40.75	64.92
18.9	0	5.22	18.28
19	0	0	0
19.1	0	0	0
