Zeit [ms]	Target speed [rpm]	Speed 1 [rpm]	Leistung 1 [PWM]	Speed 2 [rpm]	Leistung 2 [PWM]
606	0	0.00	0	0.00	0
707	0	0.00	0	0.00	0
808	0	0.00	0	0.00	0
909	0	0.00	0	0.00	0
1010	0	0.00	0	0.00	0
1111	0	0.00	0	0.00	0
1212	0	0.00	0	0.00	0
1313	0	0.00	0	0.00	0
1414	0	0.00	0	0.00	0
1515	0	0.00	0	0.00	0
1616	0	0.00	0	0.00	0
1717	0	0.00	0	0.00	0
1818	0	0.00	0	0.00	0
1920	0	0.00	0	0.00	0
2021	0	0.00	0	0.00	0
2122	0	0.00	0	0.00	0
2223	0	0.00	0	0.00	0
2324	0	0.00	0	0.00	0
2425	0	0.00	0	0.00	0
2526	0	0.00	0	0.00	0
2627	0	0.00	0	0.00	0
2728	0	0.00	0	0.00	0
2829	0	0.00	0	0.00	0
2930	0	0.00	0	0.00	0
3031	0	0.00	0	0.00	0
3132	0	0.00	0	0.00	0
3233	0	0.00	0	0.00	0
3334	0	0.00	0	0.00	0
3435	0	0.00	0	0.00	0
3536	0	0.00	0	0.00	0
3637	0	0.00	0	0.00	0
3738	0	0.00	0	0.00	0
3840	0	0.00	0	0.00	0
3941	0	0.00	0	0.00	0
4042	0	0.00	0	0.00	0
4143	0	0.00	0	0.00	0
4244	0	0.00	0	0.00	0
4345	50	8.08	25	8.08	23
4446	50	23.15	40	38.59	32
4547	50	32.34	51	48.51	37
4648	50	40.42	54	48.51	39
4749	50	40.42	57	48.51	39
4850	50	48.51	56	56.59	39
4951	50	46.30	52	46.30	37
5052	50	46.30	52	46.30	37
5153	50	48.51	52	48.51	38
5254	50	40.42	50	40.42	38
5355	50	46.30	51	48.51	38
5456	50	40.42	52	48.51	38
5557	50	38.59	52	46.30	39
5658	50	48.51	57	48.51	39
5760	50	48.51	61	48.51	39
5861	50	46.30	62	46.30	39
5962	50	56.59	62	48.51	39
6063	50	46.30	56	46.30	37
6164	50	48.51	56	40.42	37
6265	50	48.51	54	48.51	38
6366	50	46.30	54	46.30	38
6467	50	48.51	54	48.51	38
6568	50	48.51	55	48.51	39
6669	50	40.42	58	48.51	39
6770	50	48.51	58	48.51	39
6871	50	54.02	58	46.30	39
6972	50	54.02	56	46.30	39
7073	50	48.51	57	48.51	37
7174	50	48.51	57	48.51	37
7275	50	56.59	53	48.51	38
7376	50	48.51	51	48.51	38
7477	50	46.30	49	46.30	38
7578	50	48.51	47	48.51	38
7680	50	48.51	46	48.51	38
7781	50	38.59	51	46.30	38
7882	50	40.42	55	48.51	38
7983	50	38.59	61	46.30	39
8084	50	40.42	64	40.42	40
8185	50	56.59	64	48.51	38
8286	50	54.02	58	46.30	38
8387	50	48.51	58	48.51	38
8488	50	48.51	58	48.51	39
8589	50	48.51	56	48.51	39
8690	50	48.51	53	48.51	39
8791	50	46.30	53	46.30	39
8892	50	46.30	53	46.30	39
8993	50	40.42	53	48.51	39
9094	50	40.42	54	48.51	39
9195	50	38.59	57	48.51	39
9296	50	40.42	61	48.51	39
9397	50	54.02	59	46.30	37
9498	50	56.59	57	48.51	38
9600	50	56.59	55	40.42	38
9701	50	54.02	51	46.30	38
9802	50	56.59	50	48.51	38
9903	50	54.02	49	46.30	38
10004	50	40.42	49	40.42	39
10105	50	40.42	51	48.51	41
10206	50	38.59	58	46.30	39
10307	50	40.42	60	48.51	40
10408	50	48.51	62	56.59	38
10509	50	40.42	63	48.51	38
10610	50	48.51	63	56.59	37
10711	50	61.74	61	38.59	37
10812	50	54.02	57	38.59	37
10913	50	56.59	55	48.51	39
11014	50	40.42	55	40.42	39
11115	50	54.02	55	46.30	40
11216	50	56.59	55	56.59	40
11317	50	46.30	54	46.30	40
11418	50	40.42	55	48.51	40
11520	50	40.42	58	48.51	38
11621	50	54.02	59	46.30	38
11722	50	48.51	60	48.51	38
11823	100	54.02	74	54.02	54
11924	100	80.85	88	80.85	67
12025	100	113.19	88	97.02	72
12126	100	92.61	86	92.61	74
12227	100	88.93	90	105.10	76
12328	100	97.02	97	97.02	77
12429	100	97.02	100	97.02	75
12530	100	105.10	99	97.02	75
12631	100	108.04	94	92.61	74
12732	100	100.32	92	92.61	72
12833	100	97.02	91	97.02	73
12934	100	88.93	90	88.93	73
13035	100	92.61	93	97.02	75
13136	100	105.10	92	97.02	76
13237	100	100.32	89	92.61	76
13338	100	88.93	93	97.02	77
13440	100	97.02	97	97.02	77
13541	100	100.32	96	92.61	75
13642	100	97.02	96	97.02	74
13743	100	100.32	96	100.32	74
13844	100	97.02	94	97.02	74
13945	100	97.02	93	97.02	74
14046	100	100.32	93	92.61	74
14147	100	105.10	93	105.10	77
14248	100	97.02	91	105.10	78
14349	100	88.93	92	97.02	76
14450	100	97.02	96	97.02	74
14551	100	92.61	99	100.32	74
14652	100	100.32	98	92.61	74
14753	100	105.10	96	105.10	74
14854	100	88.93	94	88.93	73
14955	100	105.10	95	105.10	73
15056	100	97.02	94	97.02	72
15157	100	100.32	93	92.61	72
15258	100	105.10	91	97.02	74
15360	100	113.19	87	97.02	76
15461	100	84.89	88	100.32	74
15562	100	80.85	94	97.02	75
15663	100	92.61	98	92.61	76
15764	100	97.02	98	97.02	76
15865	100	113.19	93	97.02	74
15966	100	100.32	92	92.61	74
16067	100	97.02	91	97.02	74
16168	100	88.93	95	97.02	74
16269	100	97.02	97	88.93	73
16370	100	105.10	95	97.02	76
16471	100	108.04	92	100.32	77
16572	100	100.32	88	100.32	74
16673	100	88.93	92	97.02	75
16774	100	80.85	101	97.02	75
16875	100	100.32	102	97.02	74
16976	100	105.10	95	105.10	73
17077	100	100.32	93	92.61	73
17178	100	97.02	91	105.10	72
17280	100	97.02	91	97.02	72
17381	100	84.89	92	92.61	74
17482	100	97.02	98	97.02	75
17583	100	108.04	96	92.61	74
17684	100	105.10	91	97.02	76
17785	100	97.02	94	105.10	75
17886	100	84.89	97	100.32	76
17987	100	97.02	97	105.10	75
18088	100	97.02	98	97.02	74
18189	100	97.02	94	88.93	74
18290	100	97.02	92	97.02	73
18391	100	92.61	92	92.61	73
18492	100	92.61	94	92.61	75
18593	100	97.02	93	97.02	74
18694	100	105.10	93	97.02	76
18795	100	108.04	88	100.32	76
18896	100	80.85	90	97.02	76
18997	100	84.89	94	100.32	76
19098	100	105.10	95	105.10	76
19200	100	88.93	94	88.93	73
19301	100	92.61	93	92.61	72
19402	100	97.02	93	97.02	73
19503	200	92.61	92	92.61	73
19604	200	129.35	140	121.27	123
19705	200	169.78	155	177.86	138
19806	200	177.50	166	185.21	149
19907	200	194.03	174	202.12	152
20008	200	202.12	175	210.20	154
20109	200	194.03	171	202.12	151
20210	200	202.12	173	210.20	149
20311	200	208.36	166	192.93	145
20412	200	177.50	165	192.93	145
20513	200	194.03	170	194.03	146
20614	200	194.03	171	194.03	148
20715	200	192.93	174	202.12	149
20816	200	210.20	177	202.12	149
20917	200	200.65	172	200.65	150
21018	200	194.03	176	210.20	151
21120	200	202.12	177	194.03	154
21221	200	208.36	173	200.65	150
21322	200	202.12	173	202.12	147
21423	200	200.65	166	192.93	146
21524	200	177.86	165	185.95	144
21625	200	185.95	168	194.03	146
21726	200	192.93	171	192.93	147
21827	200	202.12	172	202.12	150
21928	200	210.20	174	202.12	152
22029	200	194.03	171	202.12	151
22130	200	202.12	174	202.12	151
22231	200	200.65	178	192.93	150
22332	200	200.65	174	192.93	147
22433	200	210.20	171	194.03	146
22534	200	194.03	164	185.95	146
22635	200	177.50	164	194.03	146
22736	200	194.03	167	194.03	147
22837	200	185.21	171	192.93	150
22938	200	202.12	173	210.20	153
23040	200	218.29	171	202.12	153
23141	200	177.86	171	200.65	152
23242	200	202.12	175	210.20	152
23343	200	200.65	172	192.93	150
23444	200	185.95	169	194.03	147
23545	200	202.12	168	202.12	146
23646	200	192.93	162	192.93	144
23747	200	177.86	167	202.12	145
23848	200	202.12	170	194.03	147
23949	200	194.03	172	194.03	150
24050	200	210.20	176	202.12	153
24151	200	216.08	176	200.65	151
24252	200	192.93	173	192.93	152
24353	200	202.12	177	202.12	154
24454	200	210.20	175	194.03	149
24555	200	192.93	169	202.12	146
24656	200	202.12	166	202.12	143
24757	200	185.21	163	185.21	145
24858	200	194.03	166	202.12	144
24960	200	185.95	171	185.95	145
25061	200	192.93	174	194.03	149
25162	200	210.20	172	202.12	152
25263	200	200.65	170	200.65	150
25364	200	177.86	173	194.03	151
25465	200	210.20	175	202.12	151
25566	200	192.93	171	192.93	149
25667	200	202.12	169	202.12	149
25768	200	210.20	164	194.03	148
25869	200	169.78	163	185.95	146
25970	200	194.03	169	194.03	147
26071	200	192.93	169	192.93	147
26172	200	192.93	172	185.21	151
26273	200	210.20	175	202.12	153
26374	200	210.20	169	202.12	152
26475	200	185.95	172	210.20	152
26576	200	202.12	176	202.12	152
26677	200	200.65	171	200.65	148
26778	200	194.03	166	194.03	146
26880	200	210.20	166	194.03	145
26981	200	185.95	161	192.93	145
27082	200	185.95	166	202.12	146
27183	200	192.93	172	192.93	150
27284	200	202.12	173	202.12	151
27385	200	202.12	171	210.20	151
27486	200	200.65	170	200.65	152
27587	200	194.03	173	202.12	152
27688	340	210.20	199	210.20	176
27789	340	258.71	255	258.71	228
27890	340	307.22	255	323.39	243
27991	340	285.54	255	324.12	248
28092	340	293.25	255	324.12	250
28193	340	307.22	255	339.56	248
28294	340	307.22	255	323.39	252
28395	340	285.54	255	339.56	255
28496	340	315.30	255	347.64	255
28597	340	300.97	255	331.84	255
28698	340	307.22	255	347.64	255
28800	340	299.13	255	331.47	255
28901	340	299.13	255	324.12	251
29002	340	323.39	255	347.64	249
29103	340	285.54	255	316.40	247
29204	340	299.13	255	315.30	249
29305	340	307.22	255	339.56	249
29406	340	300.97	255	316.40	251
29507	340	307.22	255	339.56	255
29608	340	307.22	255	347.64	255
29709	340	307.22	255	331.47	255
29810	340	307.22	255	347.64	255
29911	340	293.25	255	331.84	253
30012	340	308.69	255	324.12	251
30113	340	299.13	255	339.56	249
30214	340	299.13	255	323.39	250
30315	340	300.97	255	339.56	250
30416	340	331.47	255	339.56	250
30517	340	285.54	255	324.12	253
30618	340	315.30	255	347.64	255
30720	340	299.13	255	331.47	255
30821	340	300.97	255	331.84	255
30922	340	307.22	255	347.64	255
31023	340	300.97	255	331.84	253
31124	340	307.22	255	323.39	251
31225	340	315.30	255	331.47	250
31326	340	293.25	255	324.12	250
31427	340	315.30	255	339.56	250
31528	340	307.22	255	339.56	248
31629	340	299.13	255	323.39	252
31730	340	323.39	255	347.64	255
31831	340	308.69	255	331.84	255
31932	340	293.25	255	324.12	255
32033	340	323.39	255	339.56	255
32134	340	307.22	255	331.47	253
32235	340	300.97	255	339.56	251
32336	340	315.30	255	339.56	251
32437	340	300.97	255	324.12	249
32538	340	323.39	255	339.56	250
32640	340	307.22	255	323.39	252
32741	340	299.13	255	331.84	255
32842	340	315.30	255	355.73	255
32943	340	300.97	255	331.84	255
33044	340	299.13	255	323.39	255
33145	340	315.30	255	347.64	255
33246	340	316.40	255	324.12	251
33347	340	315.30	255	331.47	247
33448	340	307.22	255	339.56	249
33549	340	291.05	255	323.39	249
33650	340	307.22	255	339.56	248
33751	340	300.97	255	324.12	251
33852	340	293.25	255	331.84	255
33953	340	323.39	255	347.64	255
34054	340	291.05	255	331.47	255
34155	340	300.97	255	339.56	255
34256	340	315.30	255	347.64	251
34357	340	300.97	255	324.12	249
34458	340	307.22	255	339.56	247
34560	340	323.39	255	331.47	248
34661	340	307.22	255	323.39	249
34762	340	307.22	255	347.64	253
34863	0	285.54	230	324.12	230
34964	0	234.46	155	266.79	155
35065	0	169.78	105	194.03	105
35166	0	69.45	0	84.89	41
35267	0	0.00	0	8.08	0
35368	0	0.00	0	0.00	0
35469	0	0.00	0	0.00	0
35570	0	0.00	0	0.00	0
35671	0	0.00	0	0.00	0
35772	0	0.00	0	0.00	0
35873	0	0.00	0	0.00	0
35974	0	0.00	0	0.00	0
36075	0	0.00	0	0.00	0
36176	0	0.00	0	0.00	0
36277	0	0.00	0	0.00	0
36378	0	0.00	0	0.00	0
36480	0	0.00	0	0.00	0
36581	0	0.00	0	0.00	0
36682	0	0.00	0	0.00	0
36783	0	0.00	0	0.00	0
36884	0	0.00	0	0.00	0
36985	0	0.00	0	0.00	0
37086	0	0.00	0	0.00	0
37187	0	0.00	0	0.00	0
