Zeit [s]	Target PWM [-]	Speed 1 [rpm]	Speed 2 [rpm]
0	0	0	0
0.05	0	0	0
0.1	100	8.08	8.08
0.15	100	30.87	30.87
0.2	100	38.59	46.3
0.25	100	64.68	72.76
0.3	100	64.68	80.85
0.35	100	64.68	72.76
0.4	100	72.76	77.17
0.45	100	77.17	69.45
0.5	100	80.85	72.76
0.55	100	80.85	72.76
0.6	100	80.85	72.76
0.65	100	77.17	84.89
0.7	100	84.89	84.89
0.75	100	97.02	88.93
0.8	100	97.02	88.93
0.85	100	97.02	88.93
0.9	100	97.02	92.61
0.95	100	100.32	92.61
1	100	97.02	97.02
1.05	100	97.02	105.1
1.1	100	97.02	97.02
1.15	100	97.02	100.32
1.2	100	84.89	108.04
1.25	100	97.02	105.1
1.3	100	113.19	105.1
1.35	100	105.1	97.02
1.4	100	108.04	108.04
1.45	100	108.04	108.04
1.5	100	97.02	97.02
1.55	100	88.93	88.93
1.6	100	88.93	88.93
1.65	100	88.93	84.89
1.7	100	92.61	84.89
1.75	100	97.02	97.02
1.8	100	97.02	105.1
1.85	100	80.85	97.02
1.9	100	84.89	84.89
1.95	100	100.32	84.89
2	100	105.1	88.93
2.05	100	97.02	97.02
2.1	100	88.93	97.02
2.15	100	100.32	100.32
2.2	100	92.61	100.32
2.25	100	97.02	113.19
2.3	100	105.1	105.1
2.35	100	97.02	97.02
2.4	100	100.32	92.61
2.45	100	100.32	108.04
2.5	100	105.1	113.19
2.55	100	105.1	105.1
2.6	100	105.1	88.93
2.65	100	88.93	84.89
2.7	100	84.89	84.89
2.75	100	97.02	88.93
2.8	100	97.02	80.85
2.85	100	97.02	88.93
2.9	100	97.02	92.61
2.95	100	92.61	92.61
3	100	97.02	97.02
3.05	100	97.02	97.02
3.1	100	88.93	97.02
3.15	100	92.61	92.61
3.2	100	92.61	92.61
3.25	100	105.1	97.02
3.3	100	105.1	105.1
3.35	100	88.93	105.1
3.4	100	92.61	108.04
3.45	100	100.32	108.04
3.5	100	113.19	113.19
3.55	100	105.1	113.19
3.6	100	113.19	113.19
3.64999999999999	100	97.02	100.32
3.69999999999999	100	84.89	92.61
3.74999999999999	100	80.85	88.93
3.79999999999999	100	80.85	80.85
3.84999999999999	100	88.93	72.76
3.89999999999999	100	88.93	84.89
3.94999999999999	100	84.89	84.89
3.99999999999999	100	97.02	97.02
4.04999999999999	100	97.02	97.02
4.09999999999999	100	105.1	97.02
4.14999999999999	100	97.02	100.32
4.19999999999999	100	100.32	92.61
4.24999999999999	100	97.02	97.02
4.29999999999999	100	88.93	105.1
4.34999999999999	100	88.93	97.02
4.39999999999999	100	84.89	92.61
4.44999999999999	100	92.61	100.32
4.49999999999999	100	105.1	105.1
4.54999999999999	100	97.02	105.1
4.59999999999999	100	105.1	105.1
4.64999999999999	100	105.1	113.19
4.69999999999999	100	108.04	108.04
4.74999999999999	100	105.1	113.19
4.79999999999999	100	97.02	97.02
4.84999999999999	200	97.02	80.85
4.89999999999999	200	88.93	84.89
4.94999999999999	200	108.04	108.04
4.99999999999999	200	145.52	129.35
5.04999999999999	200	169.78	161.69
5.09999999999999	200	185.95	177.86
5.14999999999999	200	194.03	192.93
5.19999999999999	200	192.93	192.93
5.24999999999999	200	210.2	210.2
5.29999999999999	200	210.2	218.29
5.34999999999999	200	226.37	218.29
5.39999999999999	200	234.46	231.52
5.44999999999999	200	223.8	216.08
5.49999999999999	200	218.29	218.29
5.54999999999999	200	218.29	218.29
5.59999999999999	200	218.29	210.2
5.64999999999999	200	226.37	223.8
5.69999999999999	200	216.08	231.52
5.74999999999999	200	234.46	234.46
5.79999999999999	200	234.46	234.46
5.84999999999999	200	226.37	226.37
5.89999999999999	200	231.52	239.23
5.94999999999999	200	216.08	208.36
5.99999999999999	200	234.46	218.29
6.04999999999999	200	218.29	226.37
6.09999999999999	200	218.29	210.2
6.14999999999999	200	218.29	223.8
6.19999999999999	200	231.52	223.8
6.24999999999999	200	242.54	234.46
6.29999999999999	200	242.54	242.54
6.34999999999999	200	242.54	234.46
6.39999999999999	200	218.29	216.08
6.44999999999999	200	208.36	208.36
6.49999999999999	200	234.46	226.37
6.54999999999999	200	226.37	234.46
6.59999999999998	200	226.37	218.29
6.64999999999998	200	218.29	216.08
6.69999999999998	200	223.8	223.8
6.74999999999998	200	250.62	234.46
6.79999999999998	200	250.62	250.62
6.84999999999998	200	210.2	218.29
6.89999999999998	200	208.36	200.65
6.94999999999998	200	216.08	208.36
6.99999999999998	200	234.46	226.37
7.04999999999998	200	234.46	226.37
7.09999999999998	200	226.37	218.29
7.14999999999998	200	218.29	216.08
7.19999999999998	200	223.8	231.52
7.24999999999998	200	250.62	250.62
7.29999999999998	200	234.46	250.62
7.34999999999998	200	202.12	210.2
7.39999999999998	200	216.08	200.65
7.44999999999998	200	216.08	208.36
7.49999999999998	200	242.54	226.37
7.54999999999998	200	242.54	234.46
7.59999999999998	200	218.29	226.37
7.64999999999998	200	223.8	216.08
7.69999999999998	200	223.8	223.8
7.74999999999998	200	250.62	250.62
7.79999999999998	200	234.46	234.46
7.84999999999998	200	226.37	202.12
7.89999999999998	200	210.2	208.36
7.94999999999998	200	216.08	216.08
7.99999999999998	200	234.46	226.37
8.04999999999998	200	234.46	234.46
8.09999999999998	200	234.46	226.37
8.14999999999998	200	226.37	231.52
8.19999999999998	200	231.52	231.52
8.24999999999998	200	234.46	242.54
8.29999999999998	200	226.37	226.37
8.34999999999998	200	218.29	218.29
8.39999999999998	200	216.08	216.08
8.44999999999999	200	216.08	216.08
8.49999999999999	200	226.37	226.37
8.54999999999999	200	234.46	234.46
8.59999999999999	200	242.54	226.37
8.64999999999999	200	226.37	231.52
8.69999999999999	200	223.8	231.52
8.74999999999999	200	234.46	226.37
8.79999999999999	200	234.46	218.29
8.84999999999999	200	218.29	218.29
8.89999999999999	200	216.08	216.08
8.94999999999999	200	216.08	216.08
9	200	234.46	234.46
