Zeit  [s]	Target PWM	Speed 1 [rpm]	Speed 2 [rpm]
0	0	0	0
0.05	0	0	0
0.1	0	0	0
0.15	100	0	8.08
0.2	100	7.72	23.15
0.25	100	23.15	46.3
0.3	100	40.42	72.76
0.35	100	56.59	80.85
0.4	100	56.59	88.93
0.45	100	72.76	92.61
0.5	100	77.17	100.32
0.55	100	97.02	113.19
0.6	100	105.1	113.19
0.65	100	97.02	113.19
0.7	100	92.61	115.76
0.75	100	92.61	115.76
0.8	100	88.93	129.35
0.85	100	97.02	129.35
0.9	100	88.93	121.27
0.95	100	92.61	115.76
1	100	92.61	123.47
1.05	100	88.93	129.35
1.1	100	97.02	129.35
1.15	100	97.02	121.27
1.2	100	100.32	115.76
1.25	100	100.32	123.47
1.3	100	97.02	129.35
1.35	100	105.1	129.35
1.4	100	97.02	121.27
1.45	100	100.32	123.47
1.5	100	92.61	123.47
1.55	100	105.1	129.35
1.6	100	105.1	129.35
1.65	100	105.1	121.27
1.7	100	105.1	123.47
1.75	100	100.32	123.47
1.8	100	97.02	129.35
1.85	100	97.02	129.35
1.9	100	97.02	121.27
1.95	100	88.93	123.47
2	100	92.61	123.47
2.05	100	105.1	129.35
2.1	100	105.1	129.35
2.15	100	97.02	121.27
2.2	100	92.61	123.47
2.25	100	92.61	123.47
2.3	100	97.02	129.35
2.35	100	97.02	121.27
2.4	100	105.1	129.35
2.45	100	97.02	121.27
2.5	100	92.61	123.47
2.55	100	97.02	129.35
2.6	100	97.02	129.35
2.65	100	105.1	121.27
2.7	100	108.04	123.47
2.75	100	108.04	123.47
2.8	100	105.1	129.35
2.85	100	97.02	129.35
2.9	100	88.93	113.19
2.95	100	80.85	123.47
3	100	84.89	123.47
3.05	100	97.02	129.35
3.1	100	97.02	129.35
3.15	100	97.02	121.27
3.2	100	97.02	115.76
3.25	100	100.32	123.47
3.3	100	97.02	129.35
3.35	100	105.1	129.35
3.4	100	105.1	121.27
3.45	100	88.93	123.47
3.5	100	92.61	115.76
3.55	100	97.02	129.35
3.6	100	105.1	129.35
3.64999999999999	100	105.1	121.27
3.69999999999999	100	97.02	123.47
3.74999999999999	100	100.32	123.47
3.79999999999999	100	113.19	129.35
3.84999999999999	100	121.27	129.35
3.89999999999999	100	113.19	121.27
3.94999999999999	100	88.93	123.47
3.99999999999999	100	84.89	123.47
4.04999999999999	100	88.93	121.27
4.09999999999999	100	80.85	129.35
4.14999999999999	100	88.93	121.27
4.19999999999999	100	97.02	115.76
4.24999999999999	100	92.61	123.47
4.29999999999999	200	97.02	129.35
4.34999999999999	200	113.19	137.44
4.39999999999999	200	129.35	161.69
4.44999999999999	200	153.61	177.5
4.49999999999999	200	169.78	192.93
4.54999999999999	200	194.03	218.29
4.59999999999999	200	194.03	234.46
4.64999999999999	200	210.2	226.37
4.69999999999999	200	218.29	239.23
4.74999999999999	200	216.08	246.95
4.79999999999999	200	218.29	258.71
4.84999999999999	200	218.29	258.71
4.89999999999999	200	218.29	250.62
4.94999999999999	200	223.8	246.95
4.99999999999999	200	223.8	254.67
5.04999999999999	200	226.37	266.79
5.09999999999999	200	234.46	266.79
5.14999999999999	200	242.54	258.71
5.19999999999999	200	231.52	254.67
5.24999999999999	200	223.8	246.95
5.29999999999999	200	226.37	266.79
5.34999999999999	200	226.37	266.79
5.39999999999999	200	234.46	250.62
5.44999999999999	200	226.37	254.67
5.49999999999999	200	223.8	254.67
5.54999999999999	200	242.54	274.88
5.59999999999999	200	242.54	266.79
5.64999999999999	200	218.29	258.71
5.69999999999999	200	216.08	254.67
5.74999999999999	200	223.8	254.67
5.79999999999999	200	234.46	266.79
5.84999999999999	200	226.37	266.79
5.89999999999999	200	218.29	250.62
5.94999999999999	200	223.8	254.67
5.99999999999999	200	231.52	254.67
6.04999999999999	200	242.54	266.79
6.09999999999999	200	250.62	266.79
6.14999999999999	200	218.29	250.62
6.19999999999999	200	223.8	254.67
6.24999999999999	200	223.8	254.67
6.29999999999999	200	234.46	274.88
6.34999999999999	200	234.46	266.79
6.39999999999999	200	226.37	250.62
6.44999999999999	200	231.52	254.67
6.49999999999999	200	231.52	254.67
6.54999999999999	200	258.71	266.79
6.59999999999998	200	242.54	274.88
6.64999999999998	200	218.29	266.79
6.69999999999998	200	218.29	258.71
6.74999999999998	200	223.8	254.67
6.79999999999998	200	234.46	274.88
6.84999999999998	200	234.46	266.79
6.89999999999998	200	218.29	258.71
6.94999999999998	200	231.52	254.67
6.99999999999998	200	239.23	254.67
7.04999999999998	200	242.54	266.79
7.09999999999998	200	234.46	274.88
7.14999999999998	200	210.2	258.71
7.19999999999998	200	223.8	254.67
7.24999999999998	200	223.8	254.67
7.29999999999998	200	242.54	266.79
7.34999999999998	200	234.46	266.79
7.39999999999998	200	234.46	258.71
7.44999999999998	200	234.46	254.67
7.49999999999998	200	231.52	254.67
7.54999999999998	200	234.46	274.88
7.59999999999998	200	234.46	266.79
7.64999999999998	200	226.37	250.62
7.69999999999998	200	226.37	254.67
7.74999999999998	200	231.52	254.67
7.79999999999998	200	242.54	266.79
7.84999999999998	200	234.46	266.79
7.89999999999998	200	250.62	258.71
7.94999999999998	200	234.46	254.67
7.99999999999998	200	223.8	254.67
8.04999999999998	200	234.46	266.79
8.09999999999998	200	234.46	266.79
8.14999999999998	200	218.29	258.71
8.19999999999998	200	216.08	254.67
8.24999999999998	200	223.8	254.67
8.29999999999998	200	242.54	266.79
8.34999999999998	200	250.62	274.88
8.39999999999998	200	250.62	266.79
8.44999999999999	200	218.29	250.62
8.49999999999999	200	216.08	254.67
8.54999999999999	200	242.54	266.79
8.59999999999999	200	250.62	266.79
8.64999999999999	200	218.29	258.71
8.69999999999999	255	216.08	254.67
8.74999999999999	255	223.8	262.38
8.79999999999999	255	266.79	291.05
8.84999999999999	255	282.96	307.22
8.89999999999999	255	258.71	299.13
8.94999999999999	255	270.1	308.69
9	255	285.54	308.69
