Zeit  [s]	Target PWM	Speed 1 [rpm]	Speed 2 [rpm]
0	0	0	0
0.05	0	0	0
0.1	100	0	0
0.15	100	8.08	24.25
0.2	100	24.25	56.59
0.25	100	48.51	72.76
0.3	100	54.02	84.89
0.35	100	61.74	92.61
0.4	100	72.76	113.19
0.45	100	80.85	113.19
0.5	100	88.93	113.19
0.55	100	100.32	115.76
0.6	100	100.32	115.76
0.65	100	105.1	121.27
0.7	100	105.1	129.35
0.75	100	105.1	129.35
0.8	100	100.32	131.19
0.85	100	92.61	123.47
0.9	100	105.1	129.35
0.95	100	105.1	137.44
1	100	113.19	129.35
1.05	100	113.19	131.19
1.1	100	115.76	131.19
1.15	100	121.27	129.35
1.2	100	121.27	129.35
1.25	100	113.19	129.35
1.3	100	97.02	131.19
1.35	100	92.61	123.47
1.4	100	97.02	137.44
1.45	100	105.1	137.44
1.5	100	105.1	129.35
1.55	100	100.32	123.47
1.6	100	100.32	131.19
1.65	100	113.19	129.35
1.7	100	121.27	137.44
1.75	100	105.1	129.35
1.8	100	100.32	131.19
1.85	100	100.32	131.19
1.9	100	105.1	137.44
1.95	100	105.1	129.35
2	100	105.1	129.35
2.05	100	113.19	131.19
2.1	100	115.76	131.19
2.15	100	129.35	137.44
2.2	100	121.27	129.35
2.25	100	113.19	129.35
2.3	100	97.02	131.19
2.35	100	100.32	123.47
2.4	100	105.1	137.44
2.45	100	105.1	137.44
2.5	100	97.02	129.35
2.55	100	105.1	131.19
2.6	100	108.04	131.19
2.65	100	113.19	137.44
2.7	100	113.19	129.35
2.75	100	105.1	129.35
2.8	100	108.04	131.19
2.85	100	108.04	131.19
2.9	100	105.1	137.44
2.95	100	105.1	137.44
3	100	113.19	129.35
3.05	100	113.19	131.19
3.1	100	115.76	131.19
3.15	100	121.27	137.44
3.2	100	121.27	137.44
3.25	100	105.1	129.35
3.3	100	105.1	131.19
3.35	100	92.61	131.19
3.4	100	113.19	137.44
3.45	100	105.1	129.35
3.5	100	97.02	129.35
3.55	100	100.32	131.19
3.6	100	108.04	131.19
3.64999999999999	100	113.19	129.35
3.69999999999999	100	113.19	137.44
3.74999999999999	100	113.19	137.44
3.79999999999999	100	105.1	129.35
3.84999999999999	100	100.32	131.19
3.89999999999999	100	113.19	137.44
3.94999999999999	100	113.19	137.44
3.99999999999999	100	105.1	129.35
4.04999999999999	100	108.04	123.47
4.09999999999999	100	115.76	131.19
4.14999999999999	100	121.27	137.44
4.19999999999999	100	105.1	137.44
4.24999999999999	100	105.1	129.35
4.29999999999999	100	105.1	131.19
4.34999999999999	100	92.61	131.19
4.39999999999999	100	113.19	137.44
4.44999999999999	100	113.19	137.44
4.49999999999999	100	113.19	129.35
4.54999999999999	100	105.1	131.19
4.59999999999999	100	100.32	123.47
4.64999999999999	100	105.1	137.44
4.69999999999999	100	105.1	137.44
4.74999999999999	200	113.19	137.44
4.79999999999999	200	105.1	145.52
4.84999999999999	200	123.47	162.06
4.89999999999999	200	169.78	194.03
4.94999999999999	200	194.03	210.2
4.99999999999999	200	202.12	218.29
5.04999999999999	200	208.36	231.52
5.09999999999999	200	200.65	239.23
5.14999999999999	200	218.29	258.71
5.19999999999999	200	226.37	258.71
5.24999999999999	200	226.37	250.62
5.29999999999999	200	223.8	262.38
5.34999999999999	200	223.8	254.67
5.39999999999999	200	242.54	274.88
5.44999999999999	200	250.62	274.88
5.49999999999999	200	242.54	266.79
5.54999999999999	200	223.8	270.1
5.59999999999999	200	223.8	262.38
5.64999999999999	200	242.54	274.88
5.69999999999999	200	242.54	274.88
5.74999999999999	200	242.54	258.71
5.79999999999999	200	234.46	262.38
5.84999999999999	200	231.52	262.38
5.89999999999999	200	258.71	274.88
5.94999999999999	200	258.71	282.96
5.99999999999999	200	226.37	266.79
6.04999999999999	200	223.8	270.1
6.09999999999999	200	223.8	262.38
6.14999999999999	200	242.54	274.88
6.19999999999999	200	242.54	274.88
6.24999999999999	200	226.37	266.79
6.29999999999999	200	223.8	262.38
6.34999999999999	200	239.23	262.38
6.39999999999999	200	250.62	274.88
6.44999999999999	200	242.54	274.88
6.49999999999999	200	226.37	274.88
6.54999999999999	200	226.37	258.71
6.59999999999998	200	231.52	262.38
6.64999999999998	200	242.54	282.96
6.69999999999998	200	250.62	274.88
6.74999999999998	200	242.54	258.71
6.79999999999998	200	242.54	262.38
6.84999999999998	200	239.23	270.1
6.89999999999998	200	234.46	274.88
6.94999999999998	200	242.54	274.88
6.99999999999998	200	226.37	266.79
7.04999999999998	200	231.52	262.38
7.09999999999998	200	223.8	262.38
7.14999999999998	200	250.62	274.88
7.19999999999998	200	250.62	282.96
7.24999999999998	200	258.71	266.79
7.29999999999998	200	234.46	262.38
7.34999999999998	200	223.8	270.1
7.39999999999998	200	242.54	274.88
7.44999999999998	200	242.54	274.88
7.49999999999998	200	242.54	258.71
7.54999999999998	200	226.37	270.1
7.59999999999998	200	231.52	270.1
7.64999999999998	200	258.71	274.88
7.69999999999998	200	258.71	282.96
7.74999999999998	200	218.29	266.79
7.79999999999998	200	223.8	262.38
7.84999999999998	200	223.8	254.67
7.89999999999998	200	250.62	274.88
7.94999999999998	200	250.62	274.88
7.99999999999998	200	242.54	258.71
8.04999999999998	200	226.37	262.38
8.09999999999998	200	231.52	262.38
8.14999999999998	200	258.71	274.88
8.19999999999998	200	242.54	282.96
8.24999999999998	200	234.46	266.79
8.29999999999998	200	226.37	262.38
8.34999999999998	200	239.23	262.38
8.39999999999998	200	250.62	274.88
8.44999999999999	200	250.62	274.88
8.49999999999999	200	242.54	258.71
8.54999999999999	200	234.46	262.38
8.59999999999999	200	254.67	262.38
8.64999999999999	200	242.54	282.96
8.69999999999999	200	242.54	274.88
8.74999999999999	200	234.46	266.79
8.79999999999999	200	234.46	262.38
8.84999999999999	200	231.52	270.1
8.89999999999999	200	250.62	274.88
8.94999999999999	200	250.62	274.88
9	200	250.62	258.71
