Zeit [ms]	Target speed [rpm]	Speed 1 [rpm]	Leistung 1 [PWM]	Speed 2 [rpm]	Leistung 2 [PWM]
6770	1	0.00	0	0.00	0
6871	1	0.00	0	0.00	0
6972	1	0.00	0	0.00	0
7073	1	0.00	0	0.00	0
7174	10	0.00	3	0.00	3
7275	10	0.00	5	0.00	5
7376	10	0.00	8	0.00	8
7477	10	0.00	9	0.00	10
7578	10	0.00	11	0.00	12
7680	10	0.00	14	0.00	15
7781	10	0.00	16	7.72	17
7882	10	0.00	19	16.17	14
7983	10	0.00	21	15.43	13
8084	10	0.00	24	8.08	11
8185	10	8.08	25	16.17	11
8286	10	0.00	26	7.72	11
8387	10	8.08	27	8.08	9
8488	10	8.08	27	0.00	10
8589	10	8.08	29	8.08	10
8690	10	0.00	32	8.08	10
8791	10	7.72	33	7.72	10
8892	10	7.72	34	7.72	10
8993	10	8.08	34	8.08	10
9094	10	8.08	35	8.08	10
9195	10	16.17	35	16.17	11
9296	10	8.08	34	16.17	11
9397	10	15.43	30	7.72	11
9498	10	0.00	30	16.17	11
9600	10	0.00	30	16.17	10
9701	10	7.72	32	7.72	10
9802	10	8.08	33	0.00	10
9903	10	7.72	29	15.43	11
10004	10	16.17	25	8.08	11
10105	10	16.17	25	16.17	11
10206	10	7.72	25	7.72	11
10307	10	8.08	25	16.17	11
10408	10	8.08	26	16.17	11
10509	10	8.08	27	8.08	11
10610	10	8.08	27	8.08	11
10711	10	7.72	25	15.43	11
10812	10	15.43	25	15.43	11
10913	10	8.08	25	8.08	9
11014	10	8.08	25	8.08	10
11115	10	0.00	23	8.08	10
11216	10	0.00	23	8.08	10
11317	10	7.72	23	7.72	8
11418	10	8.08	23	0.00	9
11520	10	8.08	23	0.00	8
11621	10	7.72	23	7.72	10
11722	10	8.08	24	8.08	10
11823	10	7.72	24	15.43	10
11924	10	0.00	25	8.08	9
12025	10	0.00	28	8.08	9
12126	10	0.00	30	7.72	9
12227	10	8.08	30	8.08	10
12328	10	8.08	27	8.08	9
12429	10	16.17	24	8.08	9
12530	10	8.08	24	8.08	10
12631	10	7.72	22	7.72	9
12732	10	0.00	22	7.72	9
12833	10	8.08	23	0.00	10
12934	10	0.00	24	0.00	9
13035	10	0.00	26	7.72	10
13136	10	8.08	28	8.08	10
13237	10	7.72	26	7.72	10
13338	10	8.08	24	8.08	10
13440	10	8.08	24	8.08	10
13541	10	7.72	23	7.72	10
13642	10	0.00	23	16.17	10
13743	10	7.72	24	7.72	11
13844	10	8.08	25	8.08	9
13945	10	0.00	26	8.08	9
14046	10	0.00	28	7.72	9
14147	10	16.17	29	8.08	10
14248	10	0.00	28	16.17	8
14349	10	0.00	29	8.08	9
14450	10	8.08	29	8.08	9
14551	10	7.72	29	7.72	10
14652	10	7.72	29	7.72	10
14753	10	8.08	26	8.08	9
14854	10	0.00	28	8.08	9
14955	10	0.00	30	8.08	9
15056	10	0.00	33	8.08	9
15157	10	0.00	35	7.72	9
15258	10	0.00	37	8.08	10
15360	10	16.17	36	0.00	8
15461	10	15.43	34	7.72	9
15562	10	8.08	31	8.08	9
15663	10	7.72	30	7.72	9
15764	10	8.08	30	0.00	10
15865	10	16.17	29	8.08	11
15966	10	7.72	26	7.72	10
16067	10	8.08	24	8.08	10
16168	10	8.08	24	8.08	8
16269	10	8.08	24	0.00	9
16370	10	16.17	21	0.00	10
16471	10	7.72	21	7.72	10
16572	10	7.72	21	7.72	10
16673	10	0.00	21	8.08	10
16774	10	0.00	21	0.00	9
16875	10	0.00	24	8.08	10
16976	10	0.00	26	0.00	9
17077	10	15.43	28	0.00	9
17178	10	8.08	28	8.08	9
17280	10	8.08	26	8.08	9
17381	10	7.72	26	7.72	9
17482	10	8.08	25	8.08	9
17583	10	15.43	25	7.72	10
17684	10	8.08	23	8.08	10
17785	10	16.17	23	16.17	11
17886	10	7.72	23	7.72	11
17987	10	8.08	24	8.08	11
18088	10	8.08	23	8.08	11
18189	10	8.08	23	8.08	9
18290	10	16.17	21	8.08	9
18391	10	7.72	17	7.72	9
18492	10	7.72	17	0.00	9
18593	10	8.08	16	8.08	9
18694	10	8.08	17	0.00	7
18795	10	8.08	17	0.00	10
18896	10	8.08	17	8.08	11
18997	10	7.72	17	7.72	11
19098	10	16.17	17	8.08	11
19200	10	8.08	16	16.17	9
19301	10	7.72	13	7.72	9
19402	10	8.08	13	0.00	7
19503	10	0.00	13	7.72	10
19604	10	8.08	14	8.08	10
19705	10	0.00	15	16.17	8
19806	10	7.72	13	0.00	9
19907	10	8.08	13	8.08	8
20008	10	8.08	13	8.08	9
20109	10	8.08	13	8.08	10
20210	10	0.00	13	8.08	10
20311	10	0.00	16	7.72	10
20412	10	0.00	18	7.72	10
20513	10	0.00	20	8.08	11
20614	10	0.00	23	16.17	11
20715	10	16.17	24	16.17	11
20816	10	16.17	20	0.00	8
20917	10	7.72	20	7.72	10
21018	10	0.00	21	8.08	10
21120	10	0.00	23	8.08	10
21221	10	0.00	26	7.72	10
21322	10	16.17	26	16.17	10
21423	10	7.72	23	7.72	8
21524	10	8.08	23	8.08	9
21625	10	0.00	24	8.08	10
